ID;Komponent;Alternativa Sökord;System;Specialitet;Klass;Rörfärg;Provtagning;Övrigt;Remisstext;Remisslänk;Anges på remiss;Laboratoriet tillhanda;Provhantering;Förvaring/Hållbarhet;Skickas till;Weblänk;Pris;Uppdaterad;Sign.
1;1:a trimester screening/KUB-test; PAPP-A, fritt beta HCG, BHCG;;Klinisk Kemi;Pärmen;gelrör;1 gelrör (gul propp) 5 mL.;Prover tas i graviditetsvecka 9-13. ;Remiss tillhandahålls av Studiecenter, telefon 073-966 19 37. ;;;;Centrifugera och avskilj serum. Frys.;Förvaras och skickas fryst.;Karolinska(S);http://www.karolinska.se/KUL/Alla-anvisningar/Anvisning/10144;;28/06/16;GS
2;21-Hydroxylas-AK;21-Hydroxylas-antikroppar;S-;Klinisk Immunologi och Transfusionsmedicin;Centuri;gelrör;1 gelrör (gul propp). Minsta mängd 200 µL.;Analyseras på Immunlab C5 Uppsala 2 ggr/månad.;Autoimmunitet och Allergi (UAS);http://www.akademiska.se/Global/DAT/Provtagningsanvisningar/40003_allergi.pdf;;;Centrifugera och avskilj serum.;I kyl i 24h, därefter frys. Transporteras i rumstemperatur. Fryst serum skickas fryst.;UAS(KITM5);http://labhandboken.u5054800.fsdata.se/findny.asp?State=2&Analysid=346;;21/07/15;GS
3;ACE;Angiotensin converting enzyme;Csv-;Klinisk Kemi;Centuri;;Sterilt plaströr med skruvkork (koniskt centrifugrör med gul skruvkork). Minsta mängd 1 ml;;Klinisk Kemi Allmän (Karolinska);;;;Centrifugera och häll över till nytt sterilt plaströr med skruvkork (koniskt centrifugrör med gul skruvkork);Fryses inom 4 h.;Karolinska(S);http://www.karolinska.se/KUL/Alla-anvisningar/Anvisning/8999; 193,29 kr ;21/07/15;GS
4;ACE;Angiotensin converting enzyme;S-;Klinisk Kemi;LabMaster;gelrör;1 gelrör (gul propp).;Prover från patienter som behandlas med ACE hämmare (t. ex. Captopril) bör analyseras/frysas inom 4 timmar.;Klinisk Kemi Special (Karolinska);;;;Centrifugera och avskilj serum. Serum fryses inom 4h.;"I frys. Skickas som frysprov.I undantagsfall kan serum som förvarats i kyl skickas (hållbart ca 1 v i kyl).Frys då provet och skicka det fryst (ange om möjligt hur länge det har kylförvarats).";Karolinska(S);http://www.karolinska.se/KUL/Alla-anvisningar/Anvisning/9000; 193,29 kr ;21/07/15;GS
5;Acetylkolinreceptor-antikroppar;Anti-AchR, Kolinerg receptor AK, AchR-AK;S-;Neurologi;LabMaster;gelrör;1 gelrör (gul propp). Både venösa och kapillära prover går bra.;;Neurologi (Wieslab);http://www.wieslab.se/upload/files/Wieslab_RequestForm_Neurology_SV_Web150424.pdf;;;Centrifugera och avskilj serum.;I kyl. Kan skickas i rumstemp.;Wieslab;http://www.wieslab.se/index.php?langId=2&headId=69&pageId=69;;21/07/15;GS
6;ACTH;Adrenokortikotropt hormon;P-;Klinisk Kemi och Farmakologi;LabMaster;EDTA;1 EDTA-rör (lila propp, OBS! Plast-EDTA). Kan tas kapillärt. Minsta mängd plasma 500 µL.;"Dygnsvariation.Analyseras 2 ggr/v.OBS! ACTH-belastning: belastning där S-Kortisol analyseras.";KKF (UAS);http://www.akademiska.se/Global/DAT/Provtagningsanvisningar/UAS%20-%20KKF%2015-23%20FRAM.pdf;;Omedelbart;"Centrifugeras snarast, inom 2 h från provtagning.Avskilj plasma till 5 mL plaströr och frys omedelbart (ska vara infryst inom 3 h från provtagning).";Fryst plasma skickas fryst.;UAS(KKF);http://labhandboken.u5054800.fsdata.se/findny.asp?State=2&Analysid=433;;21/07/15;GS
7;Acylkarnitin;Organiska acidurier;P-;CMMS;Centuri;NaHep;1 NaHeparin-rör (mörkblå propp). Minsta mängd 0.2 ml/analys. Helst fasteprov, om detta inte är möjligt bör senaste födointag anges på remissen. ;Alternativt Remiss 5.;Metabolutredningar - CMMS (Karolinska);http://www.karolinska.se/globalassets/global/kul/kul-gemensamma/kul-lankblock-remisser-for--utskrift/metabolutredning.pdf;anamnes, frågeställning, läkemedelsintag;;"Observera att även prov taget i LiHeparin-rör är OK.Centrifugera och avskilj plasma. ";Plasma (ej helblod) kan skickas rumstempererat om det är framme inom ett dygn, annars fryses plasma;Karolinska(S);http://www.karolinska.se/KUL/Alla-anvisningar/Anvisning/9964;;21/07/15;GS
8;ADA;Adenosindeaminas;Erc-;Klinisk Kemi;Pärmen;EDTA;"1 EDTA-rör (lila propp).Det är viktigt att blodprovet tas FÖRE ev. blodtransfusion.";Kontakta laboratoriet före provtagning tel: 031-3422425.;Remiss 2 Klinisk Kemi (SU);http://sahlgrenska-klinkem-analyser.vgregion.se/KKAP0024.pdf;;Omedelbart;;"Provet sänds ocentrifugerat till laboratoriet.Transporteras snarast, med Expressbrev, till laboratoriet. Transporteras i rumstemperatur.";SU(KK);http://sahlgrenska-klinkem-analyser.vgregion.se/1285.html;;16/06/16;GS
9;ADA;Adenosindeaminas;S-;Klinisk Kemi;Pärmen;rör u t;1 rör utan tillsats (röd propp), 5mL.;;Remiss 2 Klinisk Kemi (SU);http://sahlgrenska-klinkem-analyser.vgregion.se/KKAP0024.pdf;;;Centrifugera och avskilj serum.;Förvaras kylt. Transporteras i rumstemperatur.;SU(KK);http://sahlgrenska-klinkem-analyser.vgregion.se/0876.html;;16/06/16;GS
10;Adalimumab och -antikroppar;Humira, TNF;S-;Klinisk Immunologi och Transfusionsmedicin;Pärmen;gelrör;"5 mL i gelrör (gul propp). Minsta mängd 1 mL serum eller 2 mL helblod. Barn: Kapillärprovtagning, minsta mängd 300 µL serum. ";Vid beställning av s-Adalimumab kompletteras med av Antikroppar mot adalimumab vid omätbar serumkoncentration av läkemedlet. Antikroppar mot adalimumab kan ej analyseras vid detekterbara serumnivåer av adalimumab, därför analyseras alltid s-Adalimumab vid beställning av Antikroppar mot adalimumab om läkemedlet givits under de senaste 12 månaderna.;Klinisk immunologi/transfusionsmedicin - Immunologi (Karolinska);;datum för senaste behandling med läkemedlet ;;Centrifugera och avskilj serum.;Kylförvaring om transport inte sker samma dag som provtagningen.  ;Karolinska(S);http://www.karolinska.se/KUL/Alla-anvisningar/Anvisning/10198; 429,17 kr ;08/06/16;GS
11;ADAMTS13 protein;ADAMTS13-ak, -antikroppar, ;P-;Klinisk Kemi;Pärmen;NaCitrat;1 NaCitrat-rör (ljusblå/svart propp) 5ml.;Röret skall fyllas helt.;TPP-diagnostik (ADAMTS 13) (LMS);http://vardgivare.skane.se/siteassets/1.-vardriktlinjer/laboratoriemedicin/remisser/koagulation-ttp-diagnostik.pdf;beställarkod: VÅKENN;Inom 30 min;"Centrifugeras inom 1h (20 min, 2000-2200g). Avskilj plasman till plastör.Fryses i -20 C.";Proverna skickas förpackade i kolsyreis.;LMS(M);http://www.analysportalen-labmedicin.skane.se/viewAnalys.asp?Nr=1597; 1 760,00 kr ;08/06/16;GS
12;ADH;Vasopressin, antidiuretiskt hormon;fP-;Klinisk Kemi;Centuri;;"Fasteprov.Iskylt Na- eller LiHeparin-rör utan gel. Minsta mängd 4ml.Ring KlinKem Västerås innan provtagning för att de ska hinna förbereda för kylcentrifugering. Prov ställs omedelbart på isbad efter provtagning.";Informera beställaren att S-Osmolalitet bör tas vid samma tillfälle (separat beställning rör+remiss), detta provsvar behöver inte anges på remissen till Karolinska.;Klinisk Kemi Special (Karolinska);;provtagningstid;Omedelbart;Kylcentrifugeras omedelbart. Avskilj (minst 2 ml) plasma till 5 mL plaströr och frys omedelbart;I frys;Karolinska(S);http://www.karolinska.se/KUL/Alla-anvisningar/Anvisning/9321; 689,10 kr ;30/07/15;GS
13;Adhesivitet, trombocyt-;;;Klinisk Kemi och Farmakologi;Centuri;;Kontakta koag.lab UAS. Provet tas på UAS.;;;;;;Kontakta koag.lab UAS. Provet tas på UAS.;;UAS(KKF);;;21/07/15;GS
14;ALA;Aminolevulinat, porfyrinprekursorer, aminolevulinsyra;U-;CMMS;Centuri;;Ca 20 mL stickprov urin u t (gärna morgonurin);Patienten skall om möjligt iaktta 12 h vätskekarens före provet.;Porfyriutredning (Karolinska);http://www.karolinska.se/globalassets/global/kul/kul-gemensamma/kul-lankblock-remisser-for--utskrift/porfyriutredning.pdf;;;Ljusskyddas med ex aluminiumfolie.;Förvaras i kyl när det ej är under transport. Fryses, om prov ej når lab Solna (porfyricentrum) inom 24 h;Karolinska(S);http://www.karolinska.se/KUL/Alla-anvisningar/Anvisning/9467;;21/07/15;GS
15;Aldolas;;S-;;Pärmen;;;Analysen är nedlagd och har ersatts av S-CK (kreatinkinas). Vidare utredning av muskelsjukdomar bör ske med analyser av genotyp.;;;;;;;;;;08/06/16;GS
16;Aldosteron; ;P-;Klinisk Kemi och Farmakologi;LabMaster;EDTA;1 EDTA-rör (lila propp).;"Om avd/mott beställt Aldosteron och Renin på separata remisser och två rör:skriv båda analyserna på samma remiss samt skicka endast ett rör!Aldosteron/Renin-kvot lämnas automatiskt ut när både Renin och Aldosteron är beställt på samma remiss.";KKF (UAS);http://www.akademiska.se/Global/DAT/Provtagningsanvisningar/UAS%20-%20KKF%2015-23%20FRAM.pdf;;Omedelbart;"Centrifugeras snarast, inom 2 h från provtagning.Avskilj plasma till 5 mL plaströr och frys omedelbart (ska vara infryst inom 3 h från provtagning).";I frys. Fryst plasma skickas fryst.   ;UAS(KKF);http://labhandboken.u5054800.fsdata.se/findny.asp?State=2&Analysid=452;;21/07/15;GS
17;Aldosteron;;U-;Klinisk Kemi;Centuri;;"En dygnsmängd urin u t.Förvaras kylt under uppsamlingsperioden.";Pt(U)-Natrium och Kalium utförs samtidigt för att underlätta bedömningen.;Klinisk Kemi Special (Karolinska);;dygnsmängd, uppsamlingsperiod;;Skicka ca 10 mL (centrifugrör) av väl blandad dygnsmängd.;Förvaras kylt (även under uppsamlingsperioden). Provrör transporteras kylt. Provet skickas fryst om ankomst till Klinisk kemi senare än 3 dygn efter provtagning.;Karolinska(S);http://www.karolinska.se/KUL/Alla-anvisningar/Anvisning/8988; 207,12 kr ;21/07/15;GS
18;alfa1-Antitrypsinbrist, fenotypning;AAT-Pi-typning;P-/S-;Klinisk Kemi;Centuri;;Prov tas i gelrör (gul propp) 5 mL eller EDTA-rör (lila propp) 5 mL. Minsta provvolym är 250 µL serum/plasma.;;Remiss 5;http://www.ltv.se/imagevault/PublishedMedia/dbhd9j4oipt8tkb8itvp/Remiss_5_Klinisk_kemi_version_140331.pdf;beställarkod: VÅKENN;;Centrifugera provet (10 min, 2000g). Om provet tas i EDTA-rör överförs plasma direkt till ett nytt rör.;Centrifugerat gel-rör och avskiljd plasma kan förvaras i kyl upp till 4 dygn efter centrifugering. Vid längre förvaring ska serum/plasma frysas.;LMS(M);http://www.analysportalen-labmedicin.skane.se/viewAnalys.asp?Nr=862; 183,00 kr ;28/07/15;GS
